date,month,day,close,closer,diff,perc,country,garb
2020-02-21,02,21,9886.200195,9886,-45,-0.4531265734,Spain,
2020-02-24,02,24,9483.500000,9484,-402,-4.066356464,Spain,
2020-02-25,02,25,9250.799805,9251,-233,-2.456769296,Spain,
2020-02-26,02,26,9316.799805,9317,66,0.7134363853,Spain,
2020-02-27,02,27,8985.900391,8986,-331,-3.552645701,Spain,
2020-02-28,02,28,8723.200195,8723,-263,-2.926774983,Spain,
2020-03-02,03,02,8741.500000,8742,19,0.2178149719,Spain,
2020-03-03,03,03,8811.599609,8812,70,0.8007320979,Spain,
2020-03-04,03,04,8910.000000,8910,98,1.112119837,Spain,
2020-03-05,03,05,8683.000000,8683,-227,-2.547699214,Spain,
2020-03-06,03,06,8375.599609,8376,-307,-3.535644363,Spain,
2020-03-09,03,09,7708.700195,7709,-667,-7.963228271,Spain,
2020-03-10,03,10,7461.500000,7462,-247,-3.204047218,Spain,
2020-03-11,03,11,7436.399902,7436,-26,-0.3484320557,Spain,
2020-03-12,03,12,6390.899902,6391,-1045,-14.05325444,Spain,
2020-03-13,03,13,6629.600098,6630,239,3.73963386,Spain,
2020-03-16,03,16,6107.200195,6107,-523,-7.888386124,Spain,
2020-03-17,03,17,6498.500000,6499,392,6.418863599,Spain,
2020-03-18,03,18,6274.799805,6275,-224,-3.446684105,Spain,
2020-03-19,03,19,6395.799805,6396,121,1.928286853,Spain,
2020-03-20,03,20,6443.299805,6443,47,0.7348342714,Spain,
2020-03-23,03,23,6230.200195,6230,-213,-3.305913394,Spain,
2020-03-24,03,24,6717.299805,6717,487,7.817014446,Spain,
2020-03-25,03,25,6942.399902,6942,225,3.349709692,Spain,
2020-03-26,03,26,7033.200195,7033,91,1.310861423,Spain,
2020-03-27,03,27,6777.899902,6778,-255,-3.625764254,Spain,
2020-03-30,03,30,6659.899902,6660,-118,-1.740926527,Spain,
2020-03-31,03,31,6785.399902,6785,125,1.876876877,Spain,
2020-04-01,04,01,6579.399902,6579,-206,-3.036109064,Spain,
2020-04-02,04,02,6574.100098,6574,-5,-0.075999392,Spain,
2020-04-03,04,03,6581.600098,6582,8,0.121691512,Spain,
2020-04-06,04,06,6844.299805,6844,262,3.980553023,Spain,
2020-04-07,04,07,7002.000000,7002,158,2.308591467,Spain,
2020-04-08,04,08,6951.799805,6952,-50,-0.7140816909,Spain,
2020-04-09,04,09,7070.600098,7071,119,1.711737629,Spain,
2020-04-14,04,14,7108.600098,7109,38,0.5374063075,Spain,
2020-04-15,04,15,6839.500000,6840,-269,-3.783935856,Spain,
2020-04-16,04,16,6763.399902,6763,-77,-1.125730994,Spain,
2020-04-17,04,17,6875.799805,6876,113,1.670856129,Spain,
2020-04-20,04,20,6831.500000,6832,-44,-0.6399069226,Spain,
2020-04-21,04,21,6634.899902,6635,-197,-2.883489461,Spain,
2020-04-22,04,22,6719.799805,6720,85,1.281085154,Spain,
2020-04-23,04,23,6746.500000,6747,27,0.4017857143,Spain,
2020-04-24,04,24,6613.899902,6614,-133,-1.97124648,Spain,
2020-04-27,04,27,6731.799805,6732,118,1.784094345,Spain,
2020-04-28,04,28,6836.399902,6836,104,1.544860368,Spain,
2020-04-29,04,29,7055.700195,7056,220,3.21825629,Spain,
2020-04-30,04,30,6922.299805,6922,-134,-1.899092971,Spain,
2020-05-04,05,04,6673.299805,6673,-249,-3.597226235,Spain,
2020-05-05,05,05,6747.700195,6748,75,1.123932264,Spain,
2020-05-06,05,06,6671.700195,6672,-76,-1.126259632,Spain,
2020-05-07,05,07,6730.899902,6731,59,0.8842925659,Spain,
2020-05-08,05,08,6783.100098,6783,52,0.7725449413,Spain,
2020-05-11,05,11,6672.200195,6672,-111,-1.636444051,Spain,
2020-05-12,05,12,6762.700195,6763,91,1.363908873,Spain,
2020-05-13,05,13,6631.399902,6631,-132,-1.95179654,Spain,
2020-05-14,05,14,6545.600098,6546,-85,-1.28185794,Spain,
2020-05-15,05,15,6474.899902,6475,-71,-1.084631836,Spain,
2020-01-02,01,02,23836.26,23836,0,0,Italy,"23,836.26"
2020-01-03,01,03,23702.35,23702,-134,-0.5621748616,Italy,"23,702.35"
2020-01-06,01,06,23581.29,23581,-121,-0.5105054426,Italy,"23,581.29"
2020-01-07,01,07,23723.38,23723,142,0.602179721,Italy,"23,723.38"
2020-01-08,01,08,23832.02,23832,109,0.4594697129,Italy,"23,832.02"
2020-01-09,01,09,24016.7,24017,185,0.7762672038,Italy,"24,016.70"
2020-01-10,01,10,24021.4,24021,4,0.01665486947,Italy,"24,021.40"
2020-01-13,01,13,23896.59,23897,-124,-0.5162149786,Italy,"23,896.59"
2020-01-14,01,14,23928.21,23928,31,0.1297233962,Italy,"23,928.21"
2020-01-15,01,15,23763.86,23764,-164,-0.6853895018,Italy,"23,763.86"
2020-01-16,01,16,23940.41,23940,176,0.7406160579,Italy,"23,940.41"
2020-01-17,01,17,24141.07,24141,201,0.8395989975,Italy,"24,141.07"
2020-01-20,01,20,24002.45,24002,-139,-0.575783936,Italy,"24,002.45"
2020-01-21,01,21,23845.28,23845,-157,-0.6541121573,Italy,"23,845.28"
2020-01-22,01,22,23706.29,23706,-139,-0.5829314322,Italy,"23,706.29"
2020-01-23,01,23,23707.05,23707,1,0.004218341348,Italy,"23,707.05"
2020-01-24,01,24,23969.13,23969,262,1.105158814,Italy,"23,969.13"
2020-01-27,01,27,23416.13,23416,-553,-2.307146731,Italy,"23,416.13"
2020-01-28,01,28,24027.63,24028,612,2.61359754,Italy,"24,027.63"
2020-01-29,01,29,24164.73,24165,137,0.5701681372,Italy,"24,164.73"
2020-01-30,01,30,23781.1,23781,-384,-1.589075109,Italy,"23,781.10"
2020-01-31,01,31,23237.03,23237,-544,-2.287540473,Italy,"23,237.03"
2020-02-03,02,03,23460.01,23460,223,0.9596763782,Italy,"23,460.01"
2020-02-04,02,04,23844.85,23845,385,1.641091219,Italy,"23,844.85"
2020-02-05,02,05,24236.63,24237,392,1.643950514,Italy,"24,236.63"
2020-02-06,02,06,24490.35,24490,253,1.043858563,Italy,"24,490.35"
2020-02-07,02,07,24478.32,24478,-12,-0.04899959167,Italy,"24,478.32"
2020-02-10,02,10,24507.7,24508,30,0.1225590326,Italy,"24,507.70"
2020-02-11,02,11,24688.89,24689,181,0.7385343561,Italy,"24,688.89"
2020-02-12,02,12,24861.28,24861,172,0.6966665317,Italy,"24,861.28"
2020-02-13,02,13,24892.15,24892,31,0.1246932947,Italy,"24,892.15"
2020-02-14,02,14,24867.01,24867,-25,-0.1004338743,Italy,"24,867.01"
2020-02-17,02,17,25120.54,25121,254,1.021434029,Italy,"25,120.54"
